[2026-03-31T10:42:32.942Z] ℹ️  📅 EventStateManager initialized
[2026-03-31T10:42:32.943Z] ℹ️  📊 StatsCollector initialized
[2026-03-31T10:42:32.943Z] ℹ️  [MongoDB] Đang kết nối...
[2026-03-31T10:42:34.038Z] ℹ️  ✅ MongoDB kết nối thành công
[2026-03-31T10:42:34.128Z] ℹ️  ✅ Loaded 19 commands
[2026-03-31T10:42:34.129Z] ℹ️  ✅ Đã load Commands
[2026-03-31T10:42:34.330Z] ℹ️  ✅ Loaded 6 events
[2026-03-31T10:42:34.331Z] ℹ️  ✅ Đã load Events
[2026-03-31T10:42:36.016Z] ℹ️  ✅ Bot logged in as mimiyeu#5298
[2026-03-31T10:42:36.017Z] ℹ️  🎯 Bot is in 2 guilds
[2026-03-31T10:42:36.023Z] ℹ️  🌐 API Server running on http://localhost:3000
[2026-03-31T11:42:32.950Z] ℹ️  🧹 Event state cleanup — còn 0 event(s) trong memory
[2026-03-31T12:42:32.959Z] ℹ️  🧹 Event state cleanup — còn 0 event(s) trong memory
